Deal Date,Investors,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2006,AllianceBernstein, Integral Capital Partners, Mayfield Fund, Menlo Ventures, Open Field Capital, Van Wagoner Capital Management, Worldview Technology Partners,,,,,,,,,,,,,,,,,,,,
11/14/2008,Alain Tingaud Innovations, Evysem Entrepreneurs et Capital, Sophia Business Angels,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2009,Alto Invest, Global Strategic Investment Fund Corporation, MIDI Capital,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2013,Costanoa Venture Capital, Javelin Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2004,Quantum Ventures of Michigan, LLC,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2006,Atlas Venture, Balderton Capital,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2012,Atlas Venture, Balderton Capital, TTV Capital,,,,,,,,,,,,,,,,,,,,,,,,
12/21/2010,Duff Ackerman & Goodrich Ventures, Focus Ventures, Kleiner Perkins Caufield & Byers, Menlo Ventures,,,,,,,,,,,,,,,,,,,,,,,
1/17/2006,In-Q-Tel, Kleiner Perkins Caufield & Byers, VantagePoint Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2006,Duff Ackerman & Goodrich Ventures, Kleiner Perkins Caufield & Byers, VantagePoint Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2006,Duff Ackerman & Goodrich Ventures, In-Q-Tel, VantagePoint Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2000,Darby Overseas Investments, NeoCarta Ventures, New Enterprise Associates, Quantum Technology Partners, VantagePoint Capital Partners, Veritas Software,,,,,,,,,,,,,,,,,,,,,
2/11/2003,New Enterprise Associates, Selby Venture Partners, US Venture Partners, VantagePoint Capital Partners,,,,,,,,,,,,,,,,,,,,,,,
8/21/2006,BioMed Partners, Grazia Equity, Life Science Venture Partners, Mulligan Biocapital,,,,,,,,,,,,,,,,,,,,,,,
1/15/2007,Advent Venture Partners, BioMed Partners, Grazia Equity, Life Sciences Partners, Mulligan Biocapital,,,,,,,,,,,,,,,,,,,,,,
2/13/2014,Antigenics, Deutsche Bank, Downsview Capital, Elan Corporation, Flagship Ventures, Fletcher Asset Management, Hudson Clean Energy Partners, Invus Group, Iroquois Capital Group, Oracle Capital Partners, Oracle Investment Management, Inc.,,,,,,,,,,,,,,,
7/16/2010,Gorge Angel Investors Network, Oregon Entrepreneurs Network,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2012,Gorge Angel Investors Network, The Yoshida Group,,,,,,,,,,,,,,,,,,,,,,,,,
