total_box,budget,release_coverage,pindex
26400640,1.5e+07,0.0314765416601287,2970868
1382259,0,0.00953220794490636,2970964
26437094,1.5e+07,0.0912614420407378,2970983
5549,0,5.04261005496445e-05,2971037
6896,0,2.49962505624156e-05,2971145
70052444,4.2e+07,0.0850717855159832,2971230
31288,0,0.000302372247725336,2971438
20050376,0,0.0399184057743606,2971499
212483,0,0.00101459455240771,2971665
128505958,1.8e+07,0.0679682415723025,2971697
5781045,0,0.0570112004305271,2971742
71046,0,0.00065972126776437,2972105
3388020,0,0.0506246769401321,2972229
17355263,0,0.0490321442744389,2972319
3515061,0,0.00348565939344037,2972349
70001698,0,0.0625627154138127,2972382
3730409,0,0.0488453112092806,2972447
25285934,0,0.00525517938352703,2972449
24630,0,7.50825908499349e-05,2972472
17952857,0,0.0507687504877858,2972565
1823297,0,0.00162181478325408,2972900
560069,7e+06,0.00164811139887659,2973211
4078607,0,0.0103260029870732,2973215
126150,0,0.000275302833116428,2973500
36805288,3.5e+07,0.0557464471260892,2973561
8779,0,2.74883861568487e-05,2973584
3802260,0,0.00881235074501362,2973631
4496583,0,0.015257941153516,2973739
5844,0,2.49962505624156e-05,2974007
66384775,5.5e+07,0.0739543777436643,2974162
21576018,4e+06,0.00694911454830755,2974210
48996,0,5.15012617809136e-05,2974282
782641,0,0,2974311
32476,0,0.000177125506072875,2974508
1796389,0,0.00628268165144775,2974509
220409,0,0.000182220486789015,2974616
20441,0,0.000100110121133247,2974711
28336,0,5.06072874493927e-05,2974880
25352281,4e+06,0.0193963359695665,2974949
516349,0,0.0110322558945209,2974990
21799652,3.5e+07,0.0546744000659721,2975010
11540607,2e+06,0.00983006113490076,2975044
532654,0,0.000188294366860191,2975094
208538,0,0.00021990708925479,2975095
53169,0,8.41514726507714e-05,2975096
23440188,0,0.0557411198505908,2975154
